What is S3 durability?, "99.999999999% (11 9's)"
"Which S3 doesn't have 11 9's of durability?", "S3 Reduced Redundancy Storage (RRS) with 99.99%"
"What is Direct Connect?", "Is a dedicated network connection from your premises to AWS, which bypasses the internet"
"What is CloudTrail used for?", "audit AWS Infrastructure. Log, monitor, and account activity related to actions across your AWS infrastructure"
"What is CloudFront?", "A CDN"
"How do you limit access to some files using CloudFront?", "signed URLs or signed cookies"
What would happen to RDS if the primary database instance fails with 1 or more replicas already existing?, "DNS record for the DB instance points to the standby DB instance"
"How can you configure your account to ensure that the access to your resources are secured and not compromised?", "Multifactor Auth and assign IAM role to EC2 instance"
When can you attach an ENI to an instance?, "running (hot attach), stopped (warm attach) or being launched (cold attach)"
How can you control access for several S3 buckets using gateway endpoint?, "Generate an endpoint policy for trusted S3 buckets"
"What is the meaning of VPN in VPC the aws documentation?", "Is a connection between your VPC and your own network"
How do you enable access to your network from your VPC?, "attaching a virtual private gateway to the VPC, creating a custom route table, updating your Security Group rules, and creating an AWS managed VPN connection"
What is customer gateway?, physical device or software application on your side of the VPN connection
How do you automatically route live traffic on DR to another env?, "use route53 with failover routing policy"
Can AWS Storage gateway be used to copy large sets of data to AWS?, "no, Storage Gateway provides low-latency access to data by caching frequently accessed data on-premises"
Recommened load balancer for flexible application management and TLS termination?, Application Load Balancer
Recommended load balancer for extreme performance and static IP?, Network Load Balancer
Recommended load balancer for app within EC2 classic network?, Classic Load balancer
Which load balancer supports path-based and host-based routing?, Application Load Balancer
Does SQS automatically deletes messages?, No
"Which service is used to assess, audit, and evaluate the configurations of your AWS resources?", AWS Config
Which is the lowest cost HDD volume designed for less frequently accessed workloads?, Cold HDD (sc1)
"What is active-passive failover with multiple primary and secondary resources?", "Route 53 considers the primary failover record to be healthy as long as at least one of the associated resources is healthy"
"What is active-passive failover with one primary and one secondary resource?", "When the primary resource is unhealthy, Route 53 responds to DNS queries using the secondary record"
"When to use active-active failover configuration?", "when you want all of your resources to be available the majority of the time. When a resource becomes unavailable, Route 53 can detect that it's unhealthy and stop including it when responding to queries. Uses all available resources all the time without a primary nor a secondary resource"
"When to use active-passive failover configuration?", "Use an active-passive failover configuration when you want a primary resource or group of resources to be available the majority of the time and you want a secondary resource or group of resources to be on standby in case all the primary resources become unavailable"
"How can you get automatic notification if your account goes over X amount?", "Go to CloudWatch, create a billing alarm which uses an SNS topic"
"What is the HTTP status code for success upload on S3?", HTTP 200
"S3 data consistency for new objects (PUT)?", "read after write consistency"
"S3 data consistency for overwrite (PUT) and DELETES?", "eventual consistency"
"S3 tiers", "S3 standard<br/>S3 - IA (infrequent access)<br/>S3 One Zone-Infrequent Access (S3 One Zone-IA; Z-IA)<br/>S3 Intelligent Tiering<br/>S3 Glacier<br/>S3 Glacier Deep Archive"
"S3 control access", "bucket ACL or bucket policies"
"share S3 buckets across accounts", "bucket policies & IAM, bucket ACL & IAM, IAM Roles"
"requirement for S3 replication?", "S3 versioning enabled"
"difference between Stored volumes and Cached volumes?", "SV dataset on site and async sent to S3, while CV stores dataset on S3 and keeps cache on site of the frequently access data"
"What is PII?", "personally identifiable information. E.g: address, email, driver's license, passport number"
"What is AWS Macie?", "Security service which uses ML and NLP to discover, classify and protect sensitive data stored in S3"
"Macie vs Athena", "Athena is focused on extract, transform and load (ETL) data from S3 while Macie is a security tool which uses AI to analyze data in S3 to identify PII"
"How long does it take a Security Group to take effect?", "instantly"
"Diff between ENI, EN, EFA", "ENI used for basic networking, EN for speeds between 10Gbps and 100Gbps, EFA for HPC or ML apps or to bypass the OS"
"Which SMB storage should you choose?", "AWS Windows FSx"
"How do you block malicious IP addresses?", "AWS WAF, network ACLs"
"What does it mean that Security Groups are stateful?", "If you open a port it will be open for inbound and outbout traffic"
"What does it mean that Network ECL are stateless?", "If you open a port you have to specify inbound and outbound rules"
"What network to use for a HPC or ML apps?", "Elastic Fabric Adaptor"
"What is detailed monitoring in CloudWatch?", "Monitor every 1 minute"
"What is default monitor time for CloudWatch on EC2?", "5 minutes"
"What can you do with CloudWatch?", "Monitor, dashboards, alarms, events, store logs"
"CloudWatch vs CloudTrail", "CloudWatch is used for monitoring, and CloudTrail to audit who manipulated AWS resources"
"Which FS to use with linux apps?", "EFS"
"Which FS to use with Microsoft apps?", "AWS FSx for Windows"
"Which FS to use with HPC, financial modeling, etc?", "AWS FSx for Lustre"
"Which storage to use for SMB storage?", "AWS FSx for Windows"
"How many copies of your data does Aurora have on 3 AZ?", "2 copies per AZ in 3 AZ means 6 total copies"
"What is Aurora Serverless?", "simple, cost-effective option for infrequent, intermittent, or unpredictable workloads database"
"Can you share Aurora with other accounts?", "Yes"
"Which DB has automated failover?", "Aurora"
"Do ELBs  have pre-defined IPv4 addresses?", "No, you resolve to them using a DNS name"
"Alias record vs CNAME", "Alias record is used to point to AWS resources and CNAME can redirect DNS queries to any DNS record, CNAME cannot use naked DNS"
"What is a SOA record?", "A way for a domain admin to provide information about the domain, like TTL, admin's email, etc"
"Explain simple routing on Route53"," 1 record with multiple IP addresses, they are all returned to the user in a random order"
"Explain weighted routing on Route53", "assign weights (percentage) to different regions, and route53 will redirect to each of them"
"can you assign health checks to individual records sets on route53?", "yes"
"What happens if a health check fails on route53?", "it will be removed from route53 until the health check is ok again"
"What is the most common corporate network cidr?", "10.0.0.0/16"
"What is the smallest allowed subnet on AWS VPC?", "10.0.0.0/28"
"What is the max amount of Internet Gateway attachable to a VPC?", "1"
"What is the difference between NAT Gateway and NAT Instances?", "NAT Gateway is a service managed by AWS and NAT Instances must be provisioned through an AMI and you have to configure, and they are less HA than a gateway"
"Minimum PUBLIC subnet in order to create a LB?", "2"
"What is a VPC Endpoint?", "Enables to privately connect your VPC to supported AWS services"
"Do VPCs support transitive peering?", "No, you have to connect a VPC directly to another VPC, you can't have a VPC in the middle of them"
"What is the difference of NACL vs Security Group?", "NACL is per subnet and is stateless (inboud or outbound must be specified explicitly), Security Group is per group of instances and is stateful (affect inbound and outbound traffic)"
"How many IP does AWS reserve per VPC?", "5 IPs (network address, vpc router, DNS server, future use and broadcast address)"
"What are NAT instance and NAT Gateway used for?", "NAT Gateway and NAT instance provide internet access to EC2 instances in private subnets, but prevent the internet from initiating a connection with those instances"
"What is the use of Bastion?", "Securely administer EC2 instances, using SSH or RDP"
"What is the meaning of 504 Error?", "The gateway has timed out"
"What is the name of the header with the IPv4 address of your end user?", "X-Forwarded-For"
"Application LB vs Network LB vs classic LB", "intelligence vs performance vs cheap"
"Is SQS pull or push based?", "pull based"
"Max SQS Message size?", "256kb"
"How long can a message stay in the SQS queue?", "You can set the retention period between 1 minute and 14 days"
"What is SQS default retention period?", "4 days"
"What is SQS retention period?", "After that period, SQS automatically deletes messages that have been in a queue"
"What is message visibility in SQS?", "When a message is being processed the queue hides it, until the job finishes, if it's not finished, it becomes visible again and it may be picked up by another job (executed twice)"
"What is visibility maximum time in SQS?", "12 hours"
"Does SQS delete automatically the messages?", "No"
"What is cognito's user poool?", "handles user registration, authentication, and account recovery"
"What are cognito's identity pools", "Authorize access to your AWS resources creatingan IAM role"
"What app to use if SAML is a requirement?", "SSO"
"What is Active Directory used for?", "Connecting AWS resources with on-premises AD"
"Feature not supported by Simple AD?", "Simple Active Directory doesn't support 'trusts'"
"Which servicse are not Active Direcory (AD) compatible?", "Cloud directory and cognito user pools"
"What is an IAM Policy made of?", "Effect (allow or deny), Action (API call, like get S3 object), Resource (entity inside AWS that the policy is effective for)"
"What are IAM Permission boundaries?", "Define maximum permissions an identity can have"
"What is DynamoDB size limitation on the Attribute Name & Value?", "Combined up to 400 KB"
"Is DynamoDB serverless, high availabe and fault tolerant?", "yes"
"Can a Spot on notification be missed before the 120 second notification?", "yes, it may be stopped before you get the notification"
"What is the main difference between EFS and EBS?", "EFS is for shared file system (NFS), while EBS is meant to be attached to a single EC2"
"A service from AWS is suspected to gone down, where can you check?", "AWS Personal Health Dashboard. It will give insight about your affected services if AWS is experiencing events that may impact you."
"How are EC2 on demand instances limited? (Service quotas)", "by vCPU amount per region. All Standard type max is: 1152 vCPUs. All other instances: 128 vCPUs."
"How are EC2 spot on instances limited? (Service quotas)", "by vCPU amount per region."
"How are EC2 spot on instances limited? (Service quotas)", "by vCPU amount per region."
"How are EC2 spot on instances limited? (Service quotas)", "for each Region you can purchase 20 regional Reserved Instances per month plus an additional 20 zonal Reserved Instances per month for each Availability Zone. For example, in a Region with three Availability Zones, the limit is 80 Reserved Instances per month (20x3=60 + 20 region = 80)"
"How many Elastic IP addresses for EC2-Classic can you have? (Service quotas)", "5"
"How many Security Groups for EC2-Classic per Region can you have? (Service quotas)", "500"
"What are good database options for user session management?", "DynamoDB and Elasticache"
"What function does the * All Traffic Deny rule perform in NACLs?", "Ensures that if a packet doesn't match any of the other numbered rules, it's denied"
"Where are EBS snapshots stored?", "on S3"
"What is EC2 url to be queried from inside the instance?", "http://169.254.169.254/latest/meta-data/"
"What are states of an EC2 instace?", "running (hot attach), stopped (warm attach), instance is being launched (cold attach)"
"How are read replicas updated?", "asynchronously"
"How are standby replicas updated?", "synchronous"
"How are RDS multi-AZ updated?", "asynchronously or synchronously"
"What are defaults for a newly created NACL?", "Deny everything in and out"
"What are defaults for the DEFAULT NACL?", "By default, it allows all inbound and outbound IPv4 traffic and, if applicable, IPv6 traffic"
"What will be avaluated first in a NACL a 100 rule or a 200 rule?", "100. From lower to higher"
"Can a subnet be associated to multiple NACLs and what about the opposite?", "You can associate a network ACL with multiple subnets. However, a subnet can be associated with only one network ACL at a time. When you associate a network ACL with a subnet, the previous association is removed."
"What's the difference between route table and NACL?", "NACL is like a subnet firewall, while route table points direct traffic in/out of a subnet, it routes the traffic to the correct destination"
"What's the difference between Security Groups and NACL?", "Security Groups are used for instance level control and do not have outbound rules, denying all inbound traffic unless explicitly allowed. NACLs are used for subnet level control and have both inbound and outbound rules. By default, they are configured to allow all traffic at ingress and egress
"What are IAM users?", "(Authentication) End user think about people"
"What are IAM groups?", "(Authentication) Set of users under one set of permission(policies)"
"What are IAM roles?", "(Authentication) Grant specific permission to specific actors. Actors can be authenticated by AWS or some trusted external system. Can be associated with AWS resources"
"What is IAM policy?", "(Authorization) Defines permissions for an action regardless of the method that you use to perform the operation (cli, web, etc). Mostly written as JSON"
"Can an autoscaling launch configuration be modified?", "An Auto Scaling group is associated with one launch configuration at a time, and you can't modify a launch configuration after you've created it"
"What is Amazon EMR?", "Is a big data platform for processing vast amounts of data using open source tools such as Apache Spark, Hive, Presto, and other big data frameworks"
"What is S3 Transfer Acceleration used for?", "Amazon S3 Transfer Acceleration can speed up content transfers to and from Amazon S3 by as much as 50-500% for long-distance transfer of larger objects."
"Where can S3 publish events?", "SNS, SQS, AWS Lambda"
"What kind of events does S3 publish?", "New object created events (S3:ObjectCreated:*), Object removal events (S3:ObjectRemoved:Delete, S3:ObjectRemoved:DeleteMarkerCreated), Restore object events, Reduced Redundancy Storage (RRS) object lost events, Replication events"
"What are S3 expedited retrievals used for?", "Expedited retrievals allow you to quickly access your data when occasional urgent requests for a subset of archives are required"
"What is the only way to encrypt Amazon EBS volume at rest?", "Using  AWS KMS"
"How to encrypt S3 at transit?", "SSL/TLS, or Client-Side Encryption"
"How to encrypt S3 at rest?", "Server-Side Encryption, or Client-Side Encryption"
"What type of Server-Side Encryption does S3 support?", "Server-Side Encryption with Amazon S3-Managed Keys (SSE-S3), Server-Side Encryption with Customer Master Keys (CMKs) Stored in AWS Key Management Service (SSE-KMS), Server-Side Encryption with Customer-Provided Keys (SSE-C)"
"When running your primary Amazon RDS Instance as a Multi-AZ deployment, can you use the standby instance for read and write operations?", "No"
"What is AWS Backup?", "AWS Backup is a centralized backup service that makes it easy and cost-effective for you to backup your application data across AWS services in the AWS Cloud, helping you meet your business and regulatory backup compliance requirements"
"What is the largest upload size for a signle S3 object in a single PUT?", "5GB"
"What is the largest size allowed of an object in S3?", "5TB"
"How do you upload a file of 10GB to S3?", "Using multipart uploads, you can divide the object in 5GB chunks and send them"
"Are Kinesis Data Streams ordered and replayable?", "Yes"
"What is AWS Transit Gateway used for?", AWS Transit Gateway connects VPCs and on-premises networks through a central hub. This simplifies your network and puts an end to complex peering relationships. It acts as a cloud router – each new connection is only made once"
"What is S3 Cross-Region Replication?", "With cross-region replication, every object uploaded to an S3 bucket is automatically replicated to a destination bucket in a different AWS region that you choose"
"What are DynamoDB Streams?", "DynamoDB Streams captures a time-ordered sequence of item-level modifications in any DynamoDB table and stores this information in a log for up to 24 hours. Applications can access this log and view the data items as they appeared before and after they were modified, in near-real time."
"Can a task be duplicated in Amazon Simple Workflow service (SWF)?", "No"
"What is the use of AWS DataSync?", "You can use DataSync to migrate active data to AWS, transfer data to the cloud for analysis and processing, archive data to free up on-premises storage capacity, or replicate data to AWS for business continuity."
"What are AWS Step Functions?", "AWS Step Functions provides serverless orchestration for modern applications. Orchestration centrally manages a workflow by breaking it into multiple steps, adding flow logic, and tracking the inputs and outputs between the steps."
"What is the difference between Step Functions vs. SWF?", "Step functions are serverless and SWF infra must be managed."
"Is an on-demand EC2 stopped instance charged?", "No"
"What is AWS X-ray used for?", "You can use X-Ray to trace and analyze user requests as they travel through your Amazon API Gateway APIs to the underlying services"
"What are VPC Flow Logs used for?", "enables you to capture information about the IP traffic going to and from network interfaces in your entire VPC"
"What is Storage Gateway used for?", "connects an on-premises software appliance with cloud-based storage. You can use the service to store data in the AWS Cloud for scalable and cost-effective storage that helps maintain data security"
"How do you point an AWS load balancer to be used by AWS route 53?", "Configuring an alias record"
"What is AWS Secrets Manager?", "enables you to easily rotate, manage, and retrieve database credentials, API keys, and other secrets throughout their lifecycle"
"What is the difference between Volume gateway and File gateway?", "File Gateway moves flat files, stored directly on S3, gets your data into amazon S3. Volume gateway stores a snapshot, related it iSCSI, like a whole partition"
"Is SQS long polling preferred to short polling?", "In almost all cases, Amazon SQS long polling is preferable to short polling. Long-polling requests let your queue consumers receive messages as soon as they arrive in your queue while reducing the number of empty ReceiveMessageResponse instances returned"
"How does Aurora failover works? Does it use A or CNAME records?", "If you have an Amazon Aurora Replica in the same or a different Availability Zone, when failing over, Amazon Aurora flips the canonical name record (CNAME) for your DB Instance to point at the healthy replica, which in turn is promoted to become the new primary. Start-to-finish, failover typically completes within 30 seconds. If you do not have an Amazon Aurora Replica (i.e. single instance) and are not running Aurora Serverless, Aurora will attempt to create a new DB Instance in the same Availability Zone as the original instance."
"What is the maximum requests S3 can handle per second?", "can now achieve at least 3,500 PUT/POST/DELETE and 5,500 GET requests per second"
"What is Redshift spectrum?", "perform SQL queries on data stored in Amazon S3 buckets"
"What is the default AWS API Gateway protocol?", "All of the APIs created with Amazon API Gateway expose HTTPS endpoints only"
"What is AWS Neptune db?", "Is a graph database"
"What is the cooldown period of an autoscaling group?", "The cooldown period is a configurable setting for your Auto Scaling group that helps to ensure that it doesn't launch or terminate additional instances before the previous scaling activity takes effect"
"How does Target tracking scaling work?", "Increase or decrease the current capacity of the group based on a target value for a specific metric, similar to the way that your thermostat maintains the temperature of your home – you select a temperature and the thermostat does the rest."
"How does Step scaling work?", "Increase or decrease the current capacity of the group based on a set of scaling adjustments, known as step adjustments, that vary based on the size of the alarm breach"
"What are the default settings for CloudTrail?", "CloudTrail event log files are sent to S3 and are encrypted using Amazon S3 server-side encryption (SSE)"
"What is AWS Glue used for?", "is a fully managed extract, transform, and load (ETL) service that makes it easy for customers to prepare and load their data for analytics"
"Can you access ELB logs?", "Yes, but they must be enabled"
"What is the right tool to collect, process, and analyze data data in real-time?", "Amazon Kinesis"
"What is AWS Systems Manager Run Command used for?", "AWS Systems Manager Run Command lets you remotely and securely manage the configuration of your managed instances"
"Are services like S3, DynamoDB, RDS, and many others, located in your VPC?", "No, they live outside a user's VPC"
"Can you use an Elastic Fabric Adapter (EFA) in a Windows instance?", "No"
"What is cross-zone load balancing?", "When the load balancer nodes for your Classic Load Balancer can distribute requests regardless of Availability Zone"
"What is an egress-only Internet gateway?", "Is a horizontally scaled, redundant, and highly available VPC component that allows outbound communication over IPv6 from instances in your VPC to the Internet, and prevents the Internet from initiating an IPv6 connection with your instances"
"What is the port for RDP used by Remote Desktop?", "3389"
"What is S3 Multipart upload used for?", "You can use Multipart upload in S3 to improve the throughput. It allows you to upload parts of your object in parallel thus, decreasing the time it takes to upload big objects"
"What storage type can you use to preserve cold datasets?", "sc1 Cold HDD"
"What storage type can you use for an app with steady throughtput like kafka?", "st1 Throughput optimized HDD"
"What storage type can you use for a criticial, I/O intensive app with variable throughtput like MySQL?", "io1 or io2 SSD"
